quantity,value,unit
injected_contrast,6.00e-04,planet/star flux ratio
raw_single_frame_snr,0.73,sigma
adi_reduced_snr,38.76,sigma
snr_improvement_factor,53.38,x
recovered_flux_fraction,88.3,percent of injected
